Data,Kurs średni,Zmiana
17/12/2018,4.2906,-0.27
14/12/2018,4.3021,0.2
13/12/2018,4.2937,-0.13
12/12/2018,4.2993,0.03
11/12/2018,4.2982,0.17
10/12/2018,4.2911,0.15
07/12/2018,4.2845,-0.17
06/12/2018,4.2919,0.05
05/12/2018,4.2896,0.2
04/12/2018,4.281,-0.02
03/12/2018,4.2818,-0.2
30/11/2018,4.2904,0.01
29/11/2018,4.29,-0.22
28/11/2018,4.2994,0.17
27/11/2018,4.2919,0.08
26/11/2018,4.2883,-0.21
23/11/2018,4.2972,-0.21
22/11/2018,4.3064,-0.01
21/11/2018,4.307,-0.56
20/11/2018,4.3314,0.17
19/11/2018,4.3242,0.68
16/11/2018,4.295,-0.05
15/11/2018,4.297,0.04
14/11/2018,4.2954,-0.09
13/11/2018,4.2994,0.07
12/11/2018,4.2962,0.14
09/11/2018,4.2901,-0.12
08/11/2018,4.2951,-0.05
07/11/2018,4.2972,-0.33
06/11/2018,4.3115,-0.07
05/11/2018,4.3144,-0.23
02/11/2018,4.3244,-0.16
31/10/2018,4.3313,0.13
30/10/2018,4.3258,0.22
29/10/2018,4.3164,0.09
26/10/2018,4.3125,0
25/10/2018,4.3123,0.2
24/10/2018,4.3036,0.12
23/10/2018,4.2984,0.14
22/10/2018,4.2922,-0.3
19/10/2018,4.3049,0.19
18/10/2018,4.2966,0.07
17/10/2018,4.2936,0.04
16/10/2018,4.2919,-0.02
15/10/2018,4.2927,-0.22
12/10/2018,4.3022,-0.36
11/10/2018,4.3179,0.23
10/10/2018,4.3082,-0.25
09/10/2018,4.319,0.18
08/10/2018,4.3112,-0.01
05/10/2018,4.3117,0.06
04/10/2018,4.309,0.33
03/10/2018,4.2949,-0.06
02/10/2018,4.2975,0.42
01/10/2018,4.2795,0.19
28/09/2018,4.2714,-0.23
27/09/2018,4.2814,-0.12
26/09/2018,4.2865,-0.17
25/09/2018,4.2939,-0.36
24/09/2018,4.3092,0.38
21/09/2018,4.2929,0.04
20/09/2018,4.2912,-0.04
19/09/2018,4.2929,-0.23
18/09/2018,4.303,0.14
17/09/2018,4.2968,-0.29
14/09/2018,4.3093,-0.08
13/09/2018,4.3126,0.05
12/09/2018,4.3103,0.06
11/09/2018,4.3077,-0.14
10/09/2018,4.3138,0.14
07/09/2018,4.3079,-0.32
06/09/2018,4.3218,0.08
05/09/2018,4.3183,0.26
04/09/2018,4.3073,0.28
03/09/2018,4.2954,0
31/08/2018,4.2953,0.08
30/08/2018,4.2917,0.11
29/08/2018,4.2871,0.33
28/08/2018,4.2732,-0.04
27/08/2018,4.2748,-0.12
24/08/2018,4.2801,-0.16
23/08/2018,4.2868,-0.16
22/08/2018,4.2937,-0.38
21/08/2018,4.3101,0.24
20/08/2018,4.2997,-0.15
17/08/2018,4.3061,-0.1
16/08/2018,4.3105,0.24
14/08/2018,4.3001,-0.22
13/08/2018,4.3094,0.35
10/08/2018,4.2942,0.53
09/08/2018,4.2715,0.23
08/08/2018,4.2619,0.15
07/08/2018,4.2554,-0.28
06/08/2018,4.2672,-0.2
03/08/2018,4.2758,0.03
02/08/2018,4.2745,-0.03
01/08/2018,4.2758,-0.05
31/07/2018,4.2779,-0.13
30/07/2018,4.2836,-0.25
27/07/2018,4.2945,0.04
26/07/2018,4.2927,-0.25
25/07/2018,4.3035,-0.51
24/07/2018,4.3256,-0.01
23/07/2018,4.3262,-0.03
20/07/2018,4.3275,0.28
19/07/2018,4.3155,0.28
18/07/2018,4.3036,0.09
17/07/2018,4.2998,-0.18
16/07/2018,4.3076,-0.52
13/07/2018,4.3302,0.09
12/07/2018,4.3262,-0.14
11/07/2018,4.3322,-0.08
10/07/2018,4.3356,-0.06
09/07/2018,4.338,-0.5
06/07/2018,4.36,-0.53
05/07/2018,4.3833,-0.31
04/07/2018,4.3969,-0.02
03/07/2018,4.3978,0.18
02/07/2018,4.3899,0.65
29/06/2018,4.3616,0.11
28/06/2018,4.3566,0.31
27/06/2018,4.343,0.13
26/06/2018,4.3372,0.3
25/06/2018,4.3242,0.22
22/06/2018,4.3149,-0.4
21/06/2018,4.3323,0.35
20/06/2018,4.3171,0.13
19/06/2018,4.3113,0.53
18/06/2018,4.2887,0.2
15/06/2018,4.2802,0.11
14/06/2018,4.2757,-0.15
13/06/2018,4.282,0.1
12/06/2018,4.2776,0.14
11/06/2018,4.2717,-0.45
08/06/2018,4.2912,0.65
07/06/2018,4.2634,-0.46
06/06/2018,4.2829,0.06
05/06/2018,4.2804,-0.3
04/06/2018,4.2931,-0.5
01/06/2018,4.3146,-0.11
30/05/2018,4.3195,0.32
29/05/2018,4.3056,0.06
28/05/2018,4.3031,0.02
25/05/2018,4.3022,0.16
24/05/2018,4.2953,-0.2
23/05/2018,4.3037,0.53
22/05/2018,4.2812,-0.42
21/05/2018,4.2991,0.08
18/05/2018,4.2958,0.21
17/05/2018,4.2868,-0.06
16/05/2018,4.2893,0.16
15/05/2018,4.2823,0.49
14/05/2018,4.2615,0.11
11/05/2018,4.2569,0.23
10/05/2018,4.2473,-0.74
09/05/2018,4.279,0.3
08/05/2018,4.2662,0.35
07/05/2018,4.2513,-0.6
04/05/2018,4.2771,0.22
02/05/2018,4.2675,1.12
30/04/2018,4.2204,-0.13
27/04/2018,4.2259,-0.31
26/04/2018,4.2392,0.55
25/04/2018,4.2159,0.43
24/04/2018,4.198,0.43
23/04/2018,4.1802,0.19
20/04/2018,4.1724,0.14
19/04/2018,4.1665,-0.03
18/04/2018,4.1677,0.23
17/04/2018,4.1582,-0.11
16/04/2018,4.1628,-0.34
13/04/2018,4.1769,-0.27
12/04/2018,4.1882,-0.07
11/04/2018,4.1911,-0.19
10/04/2018,4.199,0.05
09/04/2018,4.1967,-0.04
06/04/2018,4.1984,-0.2
05/04/2018,4.207,0.01
04/04/2018,4.2065,-0.07
03/04/2018,4.2094,0.02
30/03/2018,4.2085,-0.02
29/03/2018,4.2093,-0.01
28/03/2018,4.2097,-0.16
27/03/2018,4.2164,-0.36
26/03/2018,4.2316,0.05
23/03/2018,4.2295,0.08
22/03/2018,4.2261,-0.37
21/03/2018,4.2416,0.41
20/03/2018,4.2242,0.16
19/03/2018,4.2176,0.03
16/03/2018,4.2162,-0.01
15/03/2018,4.2168,0.13
14/03/2018,4.2114,0.04
13/03/2018,4.2097,0.37
12/03/2018,4.1942,-0.11
09/03/2018,4.1989,-0.08
08/03/2018,4.2024,0.24
07/03/2018,4.1922,0.07
06/03/2018,4.1891,-0.01
05/03/2018,4.1895,-0.22
02/03/2018,4.1986,0.32
01/03/2018,4.1854,0.18
28/02/2018,4.1779,0.19
27/02/2018,4.17,-0.04
26/02/2018,4.1717,-0.05
23/02/2018,4.1738,-0.17
22/02/2018,4.1811,0.6
21/02/2018,4.1562,0.22
20/02/2018,4.1472,0.01
19/02/2018,4.1467,-0.22
16/02/2018,4.1559,0.07
15/02/2018,4.153,-0.45
14/02/2018,4.1716,-0.11
13/02/2018,4.1764,-0.2
12/02/2018,4.1846,-0.42
09/02/2018,4.2024,0.7
08/02/2018,4.1733,0.34
07/02/2018,4.1593,0.11
06/02/2018,4.1547,-0.09
05/02/2018,4.1585,-0.07
02/02/2018,4.1615,0.27
01/02/2018,4.1504,0.04
31/01/2018,4.1488,0.07
30/01/2018,4.1461,0.09
29/01/2018,4.1423,-0.13
26/01/2018,4.1477,-0.04
25/01/2018,4.1493,-0.35
24/01/2018,4.1637,-0.18
23/01/2018,4.1712,0.04
22/01/2018,4.1696,-0.13
19/01/2018,4.175,0.21
18/01/2018,4.1663,-0.18
17/01/2018,4.1739,-0.21
16/01/2018,4.1825,0.31
15/01/2018,4.1696,0.06
12/01/2018,4.1669,-0.21
11/01/2018,4.1758,-0.06
10/01/2018,4.1784,0.01
09/01/2018,4.1779,0.32
08/01/2018,4.1647,0.25
05/01/2018,4.1544,0.07
04/01/2018,4.1515,-0.38
03/01/2018,4.1673,-0.07
02/01/2018,4.1701,-0.02
29/12/2017,4.1709,-0.25
28/12/2017,4.1815,-0.22
27/12/2017,4.1909,-0.06
22/12/2017,4.1935,-0.2
21/12/2017,4.2018,0.1
20/12/2017,4.1975,-0.09
19/12/2017,4.2011,-0.29
18/12/2017,4.2134,-0.2
15/12/2017,4.2217,0
14/12/2017,4.2216,0.14
13/12/2017,4.2155,0.19
12/12/2017,4.2077,0.09
11/12/2017,4.2038,0.03
08/12/2017,4.2026,-0.21
07/12/2017,4.2115,-0.09
06/12/2017,4.2154,0.31
05/12/2017,4.2024,-0.14
04/12/2017,4.2082,0.01
01/12/2017,4.2078,0.05
30/11/2017,4.2055,0.15
29/11/2017,4.1991,-0.2
28/11/2017,4.2074,-0.03
27/11/2017,4.2086,-0.07
24/11/2017,4.2116,0.02
23/11/2017,4.2108,-0.18
22/11/2017,4.2183,-0.27
21/11/2017,4.2296,-0.13
20/11/2017,4.2351,-0.16
17/11/2017,4.2419,0.17
16/11/2017,4.2346,-0.33
15/11/2017,4.2487,0.37
14/11/2017,4.2332,-0.05
13/11/2017,4.2352,0.13
10/11/2017,4.2299,-0.02
09/11/2017,4.2308,-0.27
08/11/2017,4.2423,0.06
07/11/2017,4.2397,-0.12
06/11/2017,4.2449,0.1
03/11/2017,4.2406,0.17
02/11/2017,4.2336,-0.38
31/10/2017,4.2498,0.22
30/10/2017,4.2403,-0.28
27/10/2017,4.252,0.15
26/10/2017,4.2458,0.21
25/10/2017,4.237,-0.19
20/10/2017,4.2452,0.17
19/10/2017,4.2381,0.21
18/10/2017,4.2293,-0.05
17/10/2017,4.2313,-0.32
16/10/2017,4.2449,-0.36
13/10/2017,4.2603,-0.24
12/10/2017,4.2705,-0.31
